Movie_Rank,Movie_Name,Worldwide_Gross,Domestic_Gross,Domestic_Percent,Foreign_Gross,Foreign_Percent
185,The Color of Paradise,"$2,724,595",1817216.0,66.7,907379.0,33.3
186,God's Army,"$2,637,726",2637726.0,100.0,73995924.08,65.85
187,But I'm a Cheerleader,"$2,595,216",2205627.0,85.0,389589.0,15.0
188,Bamboozled,"$2,463,650",2274979.0,92.3,188671.0,7.7
189,East/West,"$2,321,029",2321029.0,100.0,73995924.08,65.85
190,Shower,"$2,150,929",1157764.0,53.8,993165.0,46.2
191,Left Luggage,"$2,111,280",1069540.0,50.7,1041740.0,49.3
192,Blood Simple 2000 Re-release,"$2,068,701",1701855.0,82.3,366846.0,17.7
193,Marlene,"$2,061,924",57982996.94,47.41,2061924.0,100.0
194,Hamlet,"$2,046,433",1577287.0,77.1,469146.0,22.9
195,The Broken Hearts Club: A Romantic Comedy,"$2,019,121",1746585.0,86.5,272536.0,13.5
196,Cecil B. Demented,"$1,961,544",1284646.0,65.5,676898.0,34.5
197,The Life and Times of Hank Greenberg,"$1,712,385",1712385.0,100.0,73995924.08,65.85
